ClusterName	Color	DataCollection	Elevation	Latitude	Longitude	PopulationDescription	PopulationElasticId	PopulationLink	SampleLink	SampleName
HGDP01383	[236, 170, 172]	Human Genome Diversity Project	1.0	44.0	39.0	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01383	HGDP01383
HGDP01385	[229, 156, 5]	Human Genome Diversity Project	1.0	42.58943411838591	38.25875695378723	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01385	HGDP01385
HGDP01396	[154, 18, 35]	Human Genome Diversity Project	1.0	41.62747800640964	41.26851341532182	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01396	HGDP01396
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	45.653119236329324	39.88176958405283	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01381	HGDP01381
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	45.92964497221037	36.70837222437712	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01382	HGDP01382
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	45.54947258025107	40.74569588837289	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01384	HGDP01384
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	43.560388015355464	40.209654925483164	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01386	HGDP01386
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	44.284971582301324	39.25441132138949	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01387	HGDP01387
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	41.9576247817185	41.48741793591147	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01388	HGDP01388
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	46.22760410679412	36.60350564110953	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01397	HGDP01397
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	44.73433477190374	38.01035375983792	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01398	HGDP01398
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	44.98803036868979	38.50634125129128	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01399	HGDP01399
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	45.63540282615523	37.8047942508832	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01400	HGDP01400
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	44.44800908248425	39.13618106203305	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01403	HGDP01403
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	42.42048316884807	38.68962882896481	Adygei in Caucasus, Russia (HGDP)	AdygeiHGDP	https://www.internationalgenome.org/data-portal/population/AdygeiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP01404	HGDP01404
