ClusterName	Color	DataCollection	Elevation	Latitude	Longitude	PopulationDescription	PopulationElasticId	PopulationLink	SampleLink	SampleName
HGDP00319	[11, 15, 240]	Human Genome Diversity Project	1.0	36.0	71.5	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00319	HGDP00319
HGDP00321	[42, 216, 37]	Human Genome Diversity Project	1.0	33.575580867311736	71.58614265552981	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00321	HGDP00321
HGDP00279	[138, 32, 49]	Human Genome Diversity Project	1.0	38.158697791291885	72.26459557384754	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00279	HGDP00279
HGDP00288	[208, 61, 59]	Human Genome Diversity Project	1.0	35.92735742119262	72.25914258695556	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00288	HGDP00288
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	38.396914830197716	69.0240685736251	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00274	HGDP00274
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	38.35510533997689	69.7694805275342	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00277	HGDP00277
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	35.0728795325914	72.05447099028639	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00281	HGDP00281
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	38.31593254154853	73.29075045628285	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00285	HGDP00285
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	37.00088718181182	69.84228378174546	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00290	HGDP00290
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	35.951711789714395	73.92216862279588	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00298	HGDP00298
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	35.043067238894956	69.29413824948229	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00302	HGDP00302
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	37.421202702801736	73.1354467661809	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00304	HGDP00304
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	37.895357064536995	69.14748679541164	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00307	HGDP00307
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	36.80908570834547	73.85207599927918	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00309	HGDP00309
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	34.771073334665246	70.77763065234663	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00311	HGDP00311
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	35.3947790375565	70.66317791087984	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00313	HGDP00313
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	36.88719454432562	73.86546120591693	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00315	HGDP00315
NA19221	[255, 255, 255]	Human Genome Diversity Project	0.9	37.93485739472245	72.95427746435321	Kalash in Pakistan (HGDP)	KalashHGDP	https://www.internationalgenome.org/data-portal/population/KalashHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00323	HGDP00323
