ClusterName	Color	DataCollection	Elevation	Latitude	Longitude	PopulationDescription	PopulationElasticId	PopulationLink	SampleLink	SampleName
HGDP00843	[0, 255, 0]	Human Genome Diversity Project	1.0	-11.0	-62.0	Surui in Brazil (HGDP)	SuruiHGDP	https://www.internationalgenome.org/data-portal/population/SuruiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00843	HGDP00843
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	-12.464507044027235	-60.60869957949569	Surui in Brazil (HGDP)	SuruiHGDP	https://www.internationalgenome.org/data-portal/population/SuruiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00832	HGDP00832
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	-10.055356764009325	-61.3046276767884	Surui in Brazil (HGDP)	SuruiHGDP	https://www.internationalgenome.org/data-portal/population/SuruiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00838	HGDP00838
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	-11.076525931233125	-61.13571371677386	Surui in Brazil (HGDP)	SuruiHGDP	https://www.internationalgenome.org/data-portal/population/SuruiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00837	HGDP00837
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	-8.507469390514085	-60.55523834021901	Surui in Brazil (HGDP)	SuruiHGDP	https://www.internationalgenome.org/data-portal/population/SuruiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00849	HGDP00849
SC_GMJOL5309796	[255, 0, 255]	Human Genome Diversity Project	1.0	-12.878454865511824	-63.91965184293127	Surui in Brazil (HGDP)	SuruiHGDP	https://www.internationalgenome.org/data-portal/population/SuruiHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00845	HGDP00845
HGDP00843	[0, 255, 0]	Human Genome Diversity Project	1.0	36.5	74.0	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00341	HGDP00341
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	34.90691995873552	76.45130885503063	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00371	HGDP00371
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.63640747367853	72.61763030279737	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00444	HGDP00444
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.45693615254254	76.14227224414697	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00346	HGDP00346
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	36.537129786202755	74.3249184110555	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00351	HGDP00351
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	36.274332068574395	75.81622805115752	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00356	HGDP00356
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	36.122005865723324	74.4732257286537	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00359	HGDP00359
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.328761810221636	75.84057395396354	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00364	HGDP00364
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	38.47834380753346	74.96366348762481	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00372	HGDP00372
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.14455010841237	74.44236247787155	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00376	HGDP00376
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	35.445941592800615	73.27298024126534	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00382	HGDP00382
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	36.844951618370615	75.07392514879574	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00388	HGDP00388
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	35.41411852002023	72.13784262441955	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00392	HGDP00392
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	34.264819098925535	73.28808450854551	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00397	HGDP00397
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	35.65817996903698	75.12295099305173	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00402	HGDP00402
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.09303306796307	73.96074582889793	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00407	HGDP00407
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	36.11464424779616	72.54532726025715	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00412	HGDP00412
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.13632560389762	74.24710008213374	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00417	HGDP00417
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	37.80922353494176	73.59249462572015	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00423	HGDP00423
NA18582	[255, 255, 255]	Human Genome Diversity Project	0.9	36.12363340586665	74.58113005177016	Burusho in Pakistan (HGDP)	BurushoHGDP	https://www.internationalgenome.org/data-portal/population/BurushoHGDP	https://www.internationalgenome.org/data-portal/sample/HGDP00433	HGDP00433
