ClusterName	Color	DataCollection	Elevation	Latitude	Longitude	PopulationDescription	PopulationElasticId	PopulationLink	SampleLink	SampleName
HG01925	[255, 255, 0]	1000 Genomes on GRCh38	1.0	-12.04	-77.03	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01925	HG01925
HG01925	[255, 255, 0]	1000 Genomes on GRCh38	1.0	-9.953866302675868	-78.16679223150621	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01965	HG01965
HGDP00917	[255, 0, 255]	1000 Genomes on GRCh38	1.0	-14.246857964361139	-76.71947668314928	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG02274	HG02274
HGDP00920	[255, 0, 0]	1000 Genomes on GRCh38	1.0	-10.562103092828224	-77.97202923812159	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01579	HG01579
HGDP00920	[255, 0, 0]	1000 Genomes on GRCh38	1.0	-11.028432116626494	-76.9295699739171	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01937	HG01937
HGDP00934	[47, 247, 175]	1000 Genomes on GRCh38	1.0	-10.127247734036725	-75.85344223053683	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01924	HG01924
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-11.30472204813206	-74.56976476356365	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01565	HG01565
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-11.858651185759667	-76.77062052950535	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01566	HG01566
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-10.459814929119213	-76.13131175816291	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01567	HG01567
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-10.925332951657227	-76.75861689469674	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01571	HG01571
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-13.69147913181931	-79.20628309783469	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01572	HG01572
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-10.481776785880758	-76.75231576345689	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01573	HG01573
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-13.752492175875	-78.10353041545105	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01577	HG01577
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-10.061093329216872	-74.897496604313	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01578	HG01578
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-11.055117536748444	-74.56014173781949	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01892	HG01892
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-13.742634261483413	-76.39421989898311	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01893	HG01893
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-11.30870064841545	-77.94384185909513	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01898	HG01898
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-12.778875751952578	-74.78765202382455	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01917	HG01917
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-12.504493252163293	-77.62617715136896	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01918	HG01918
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-9.77927140491462	-76.80788618241064	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01919	HG01919
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-10.488400203721993	-77.05110591039272	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01920	HG01920
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	-12.414660783141946	-79.48980343173814	Peruvian in Lima, Peru	PEL	https://www.internationalgenome.org/data-portal/population/PEL	https://www.internationalgenome.org/data-portal/sample/HG01921	HG01921
