ClusterName	Color	DataCollection	Elevation	Latitude	Longitude	PopulationDescription	PopulationElasticId	PopulationLink	SampleLink	SampleName
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	39.916666	116.383333	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18582	NA18582
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	40.40399355875902	117.24353901608175	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18525	NA18525
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	38.019905857450325	117.33406785531497	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18526	NA18526
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	38.58847403727871	116.24794827537576	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18528	NA18528
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	39.128942817254085	117.56309961520698	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18531	NA18531
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	39.67920272353851	114.17500417636808	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18532	NA18532
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	41.749311655577166	116.2798495923813	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18533	NA18533
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	38.01147102254627	114.02311778886566	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18535	NA18535
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	42.310538618033746	115.98846307130127	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18537	NA18537
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	37.94907510942723	114.25086130109224	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18538	NA18538
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	38.36973824453282	114.33347680949716	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18539	NA18539
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	39.20120423220552	115.04821642027132	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18541	NA18541
NA18582	[255, 255, 255]	1000 Genomes on GRCh38	0.9	41.89623580820897	114.92970390234811	Han Chinese in Beijing, China	CHB	https://www.internationalgenome.org/data-portal/population/CHB	https://www.internationalgenome.org/data-portal/sample/NA18542	NA18542
